WK;BZ;bezID;SPR;WBER;ABG.;UNG.;OEVP;SPOE;FPOE;GRUE;NEOS;DANN;KPOE
Wien Innen-West;Innere Stadt;90101;1;655;426;3;107;79;66;56;100;8;7
Wien Innen-West;Innere Stadt;90101;2;1147;592;2;141;151;67;111;89;13;18
Wien Innen-West;Innere Stadt;90101;3;753;454;2;104;105;63;68;87;11;14
Wien Innen-West;Innere Stadt;90101;4;745;462;0;96;96;75;80;89;7;19
Wien Innen-West;Innere Stadt;90101;5;867;544;7;132;94;84;80;121;12;14
Wien Innen-West;Innere Stadt;90101;6;784;485;0;133;99;65;62;105;10;11
Wien Innen-West;Innere Stadt;90101;7;709;419;2;129;79;54;58;93;1;3
Wien Innen-West;Innere Stadt;90101;8;858;508;1;115;120;74;81;99;12;6
Wien Innen-West;Innere Stadt;90101;9;757;435;1;166;65;51;42;97;8;5
Wien Innen-West;Innere Stadt;90101;10;472;279;1;80;54;35;43;58;2;6
Wien Innen-West;Innere Stadt;90101;11;848;552;3;170;94;78;70;109;20;8
Wien Innen-West;Innere Stadt;90101;12;655;405;1;117;78;57;54;86;6;6
Wien Innen-West;Innere Stadt;90101;13;918;613;7;154;115;89;102;125;9;12
Wien Innen-West;Innere Stadt;90101;14;876;522;3;117;109;54;91;117;9;22
Wien Innen-Ost;Leopoldstadt;90201;1;725;474;2;42;145;32;143;69;9;32
Wien Innen-Ost;Leopoldstadt;90201;2;752;406;2;31;101;40;137;62;11;22
Wien Innen-Ost;Leopoldstadt;90201;3;915;603;5;57;185;58;189;76;9;24
Wien Innen-Ost;Leopoldstadt;90201;4;873;483;1;72;131;68;130;55;5;21
Wien Innen-Ost;Leopoldstadt;90201;5;783;501;6;54;137;58;153;50;9;34
Wien Innen-Ost;Leopoldstadt;90201;6;794;396;4;32;146;44;95;50;5;20
Wien Innen-Ost;Leopoldstadt;90201;7;694;429;2;33;129;23;141;72;12;17
Wien Innen-Ost;Leopoldstadt;90201;8;649;380;4;45;97;42;118;49;6;19
Wien Innen-Ost;Leopoldstadt;90201;9;783;453;5;52;125;59;107;55;10;40
Wien Innen-Ost;Leopoldstadt;90201;10;697;451;0;65;110;33;128;75;7;33
Wien Innen-Ost;Leopoldstadt;90201;11;761;433;2;46;138;42;113;66;5;21
Wien Innen-Ost;Leopoldstadt;90201;12;1195;587;5;82;149;35;194;88;8;26
Wien Innen-Ost;Leopoldstadt;90201;13;910;520;3;57;169;75;108;66;9;33
Wien Innen-Ost;Leopoldstadt;90201;14;835;416;4;72;126;37;93;63;7;14
Wien Innen-Ost;Leopoldstadt;90201;15;741;444;4;60;139;50;108;52;5;26
Wien Innen-Ost;Leopoldstadt;90201;16;780;462;4;47;153;50;122;58;3;25
Wien Innen-Ost;Leopoldstadt;90201;17;675;409;4;70;109;41;103;59;3;20
Wien Innen-Ost;Leopoldstadt;90201;18;638;327;3;30;106;36;78;45;4;25
Wien Innen-Ost;Leopoldstadt;90201;19;741;417;2;38;132;48;112;38;10;37
Wien Innen-Ost;Leopoldstadt;90201;20;782;446;2;52;135;38;133;61;6;19
Wien Innen-Ost;Leopoldstadt;90201;21;723;414;3;34;136;35;124;50;7;25
Wien Innen-Ost;Leopoldstadt;90201;22;1002;510;2;71;172;48;115;70;10;22
Wien Innen-Ost;Leopoldstadt;90201;23;709;390;1;33;125;25;119;60;2;25
Wien Innen-Ost;Leopoldstadt;90201;24;653;297;6;28;79;41;82;41;4;16
Wien Innen-Ost;Leopoldstadt;90201;25;886;400;1;33;126;47;111;47;4;31
Wien Innen-Ost;Leopoldstadt;90201;26;644;323;2;31;92;34;92;44;5;23
Wien Innen-Ost;Leopoldstadt;90201;27;615;384;0;40;112;36;120;52;9;15
Wien Innen-Ost;Leopoldstadt;90201;28;718;362;0;44;112;41;103;41;4;17
Wien Innen-Ost;Leopoldstadt;90201;29;610;322;1;22;98;26;104;39;6;26
Wien Innen-Ost;Leopoldstadt;90201;30;408;217;1;22;69;33;50;25;1;16
Wien Innen-Ost;Leopoldstadt;90201;31;710;366;1;36;109;40;101;43;6;30
Wien Innen-Ost;Leopoldstadt;90201;32;770;345;5;41;112;49;72;37;5;24
Wien Innen-Ost;Leopoldstadt;90201;33;543;306;1;40;72;46;75;47;7;18
Wien Innen-Ost;Leopoldstadt;90201;34;551;296;3;24;103;35;73;46;3;9
Wien Innen-Ost;Leopoldstadt;90201;35;796;516;3;67;167;44;119;81;6;29
Wien Innen-Ost;Leopoldstadt;90201;36;737;447;6;62;128;63;107;57;1;23
Wien Innen-Ost;Leopoldstadt;90201;37;643;318;3;37;119;44;65;36;5;9
Wien Innen-Ost;Leopoldstadt;90201;38;731;309;3;32;100;57;60;25;5;27
Wien Innen-Ost;Leopoldstadt;90201;39;526;267;5;10;77;29;90;25;4;27
Wien Innen-Ost;Leopoldstadt;90201;40;762;322;5;25;93;68;70;32;6;23
Wien Innen-Ost;Leopoldstadt;90201;41;704;391;2;47;102;55;109;47;11;18
Wien Innen-Ost;Leopoldstadt;90201;42;412;221;0;22;45;37;66;28;4;19
Wien Innen-Ost;Leopoldstadt;90201;43;456;244;0;17;80;27;72;30;4;14
Wien Innen-Ost;Leopoldstadt;90201;44;564;263;1;15;97;32;66;29;9;14
Wien Innen-Ost;Leopoldstadt;90201;45;588;294;1;27;92;30;86;31;3;24
Wien Innen-Ost;Leopoldstadt;90201;46;617;323;1;30;74;47;113;24;4;30
Wien Innen-Ost;Leopoldstadt;90201;47;833;437;0;27;140;43;126;63;4;34
Wien Innen-Ost;Leopoldstadt;90201;48;921;424;7;40;141;47;100;58;7;24
Wien Innen-Ost;Leopoldstadt;90201;49;774;380;3;42;127;51;86;35;7;29
Wien Innen-Ost;Leopoldstadt;90201;50;758;347;4;31;98;40;84;51;7;32
Wien Innen-Ost;Leopoldstadt;90201;51;919;302;2;27;113;78;34;27;5;16
Wien Innen-Ost;Leopoldstadt;90201;52;830;283;2;17;117;78;23;20;13;13
Wien Innen-Ost;Leopoldstadt;90201;53;1002;431;5;56;153;66;71;47;3;30
Wien Innen-Ost;Leopoldstadt;90201;54;1078;537;5;50;144;76;111;124;8;19
Wien Innen-Ost;Leopoldstadt;90201;55;993;392;7;40;154;124;37;21;5;4
Wien Innen-Ost;Leopoldstadt;90201;56;753;345;5;42;108;70;51;45;9;15
Wien Innen-Ost;Leopoldstadt;90201;57;794;270;0;20;109;80;24;13;5;19
Wien Innen-Ost;Leopoldstadt;90201;58;1134;574;7;93;255;109;46;38;2;24
Wien Innen-Ost;Leopoldstadt;90201;59;537;338;3;44;121;66;36;40;18;10
Wien Innen-Ost;Leopoldstadt;90201;60;1162;531;3;56;181;106;72;84;5;24
Wien Innen-Ost;Leopoldstadt;90201;61;955;513;7;83;161;118;70;40;12;22
Wien Innen-Ost;Leopoldstadt;90201;62;622;392;3;60;110;122;34;39;8;16
Wien Innen-Ost;Leopoldstadt;90201;63;762;467;5;47;130;62;122;57;11;33
Wien Innen-Ost;Leopoldstadt;90201;64;1065;686;4;113;175;77;171;111;14;21
Wien Innen-Ost;Leopoldstadt;90201;65;924;564;5;86;144;80;129;84;10;26
Wien Innen-Ost;Leopoldstadt;90201;66;976;449;4;37;157;87;93;41;10;20
Wien Innen-Ost;Leopoldstadt;90201;67;973;363;2;38;127;75;42;43;6;30
Wien Innen-Ost;Leopoldstadt;90201;68;1070;660;6;65;215;70;150;89;23;42
Wien Innen-Ost;Leopoldstadt;90201;69;811;550;4;27;157;20;207;107;2;26
Wien Innen-Ost;Leopoldstadt;90201;70;938;608;2;52;193;50;161;117;11;22
Wien Innen-Ost;Leopoldstadt;90201;71;841;384;2;31;128;66;85;45;11;16
Wien Innen-Ost;Leopoldstadt;90201;72;1018;605;4;20;202;49;180;88;6;56
Wien Innen-Ost;Leopoldstadt;90201;73;1137;505;10;42;156;95;100;64;4;34
Wien Innen-Ost;Leopoldstadt;90201;74;1252;534;4;26;193;80;126;77;6;22
Wien Innen-Ost;Leopoldstadt;90201;75;711;420;1;28;107;41;145;72;4;22
Wien Innen-Ost;Leopoldstadt;90201;76;1040;690;5;30;204;31;245;127;8;40
Wien Innen-Süd;Landstraße;90301;1;840;529;4;64;146;52;139;95;7;22
Wien Innen-Süd;Landstraße;90301;2;635;339;1;24;102;36;107;47;2;20
Wien Innen-Süd;Landstraße;90301;3;688;404;2;43;101;55;119;51;6;27
Wien Innen-Süd;Landstraße;90301;4;799;488;1;48;132;46;126;95;12;28
Wien Innen-Süd;Landstraße;90301;5;685;395;0;58;86;39;92;79;11;30
Wien Innen-Süd;Landstraße;90301;6;761;424;1;45;125;64;100;67;7;15
Wien Innen-Süd;Landstraße;90301;7;893;561;2;67;142;78;145;90;12;25
Wien Innen-Süd;Landstraße;90301;8;791;472;5;61;108;56;115;86;10;31
Wien Innen-Süd;Landstraße;90301;9;663;431;1;77;106;40;106;73;5;23
Wien Innen-Süd;Landstraße;90301;10;765;487;1;102;122;47;98;85;8;24
Wien Innen-Süd;Landstraße;90301;11;737;508;3;90;139;62;109;82;11;12
Wien Innen-Süd;Landstraße;90301;12;792;497;1;93;112;50;128;96;7;10
Wien Innen-Süd;Landstraße;90301;13;814;494;3;64;136;54;126;73;9;29
Wien Innen-Süd;Landstraße;90301;14;768;457;3;56;122;35;117;83;14;27
Wien Innen-Süd;Landstraße;90301;15;403;275;1;68;76;25;54;41;4;6
Wien Innen-Süd;Landstraße;90301;16;885;503;4;77;131;76;83;102;13;17
Wien Innen-Süd;Landstraße;90301;17;750;431;5;47;122;36;94;101;3;23
Wien Innen-Süd;Landstraße;90301;18;726;480;4;70;127;52;97;98;9;23
Wien Innen-Süd;Landstraße;90301;19;815;488;5;79;125;54;113;79;8;25
Wien Innen-Süd;Landstraße;90301;20;837;461;6;61;126;47;101;94;7;19
Wien Innen-Süd;Landstraße;90301;21;838;514;4;73;175;73;93;61;8;27
Wien Innen-Süd;Landstraße;90301;22;792;389;3;25;154;33;95;50;7;22
Wien Innen-Süd;Landstraße;90301;23;723;339;5;33;124;47;57;36;11;26
Wien Innen-Süd;Landstraße;90301;24;745;223;6;14;110;56;18;9;1;9
Wien Innen-Süd;Landstraße;90301;25;833;360;2;36;109;70;78;42;3;20
Wien Innen-Süd;Landstraße;90301;26;693;300;3;30;95;75;46;25;6;20
Wien Innen-Süd;Landstraße;90301;27;859;319;2;22;115;68;49;30;9;24
Wien Innen-Süd;Landstraße;90301;28;880;320;1;39;119;89;31;14;12;15
Wien Innen-Süd;Landstraße;90301;29;764;337;2;31;101;50;86;43;6;18
Wien Innen-Süd;Landstraße;90301;30;857;399;4;24;145;69;83;41;10;23
Wien Innen-Süd;Landstraße;90301;31;617;359;1;38;105;47;85;63;3;17
Wien Innen-Süd;Landstraße;90301;32;736;445;2;69;122;65;93;64;11;19
Wien Innen-Süd;Landstraße;90301;33;613;296;2;38;78;43;66;42;4;23
Wien Innen-Süd;Landstraße;90301;34;912;451;0;40;158;52;88;78;4;31
Wien Innen-Süd;Landstraße;90301;35;977;403;9;33;165;85;51;41;3;16
Wien Innen-Süd;Landstraße;90301;36;273;136;4;34;65;13;6;10;2;2
Wien Innen-Süd;Landstraße;90301;37;609;344;2;60;73;36;78;78;9;8
Wien Innen-Süd;Landstraße;90301;38;681;433;0;75;98;55;86;99;5;15
Wien Innen-Süd;Landstraße;90301;39;700;463;4;74;124;37;113;76;6;29
Wien Innen-Süd;Landstraße;90301;40;987;597;5;127;127;62;113;134;6;23
Wien Innen-Süd;Landstraße;90301;41;770;475;4;87;118;45;104;89;8;20
Wien Innen-Süd;Landstraße;90301;42;562;359;1;58;79;44;85;69;7;16
Wien Innen-Süd;Landstraße;90301;43;942;597;4;95;178;78;115;94;11;22
Wien Innen-Süd;Landstraße;90301;44;834;564;14;88;127;64;145;97;7;22
Wien Innen-Süd;Landstraße;90301;45;663;458;2;73;115;50;97;88;9;24
Wien Innen-Süd;Landstraße;90301;46;651;377;3;44;131;61;72;51;4;11
Wien Innen-Süd;Landstraße;90301;47;652;357;5;47;95;39;82;59;8;22
Wien Innen-Süd;Landstraße;90301;48;735;408;3;68;123;67;72;52;2;21
Wien Innen-Süd;Landstraße;90301;49;620;335;2;51;90;48;76;51;3;14
Wien Innen-Süd;Landstraße;90301;50;575;287;0;38;85;39;66;37;1;21
Wien Innen-Süd;Landstraße;90301;51;976;621;10;97;210;71;114;74;9;36
Wien Innen-Süd;Landstraße;90301;52;981;503;3;31;191;51;114;76;11;26
Wien Innen-Süd;Landstraße;90301;53;448;156;2;8;67;41;16;12;4;6
Wien Innen-Süd;Landstraße;90301;54;818;465;3;85;80;98;76;94;13;16
Wien Innen-Süd;Landstraße;90301;55;741;464;1;84;119;42;73;117;12;16
