"bez";"spr";"spr24"
10;"10072";"10072"
14;"14026";"14025"
21;"21035";"21035"
16;"16056";"16056"
17;"17014";"17014"
3;"03038";"03038"
13;"13024";"13024"
12;"12064";"12064"
12;"12042";"12042"
7;"07017";"07017"
16;"16001";"16001"
11;"11019";"11019"
5;"05038";"05038"
10;"10062";"10062"
11;"11008";"11008"
19;"19047";"19047"
2;"02022";"02022"
18;"18039";"18039"
3;"03050";"03050"
2;"02066";"02066"
4;"04020";"04025"
8;"08014";"08014"
15;"15016";"15016"
20;"20003";"20003"
22;"22072";"22072"
17;"17037";"17037"
3;"03034";"03034"
4;"04004";"04004"
10;"10090";"10090"
1;"01014";"01013"
13;"13014";"13015"
3;"03061";"03061"
3;"03036";"03035"
12;"12005";"12005"
6;"06008";"06008"
10;"10108";"10108"
16;"16012";"16012"
5;"05004";"05004"
22;"22151";"22151"
7;"07030";"07017"
14;"14035";"14051"
17;"17036";"17036"
3;"03037";"03037"
14;"14046";"14059"
19;"19027";"19027"
23;"23061";"23061"
11;"11066";"11066"
2;"02074";"02074"
6;"06002";"06002"
19;"19044";"19044"
22;"22019";"22019"
11;"11043";"11043"
16;"16030";"16030"
3;"03013";"03013"
23;"23045";"23045"
21;"21096";"21096"
11;"11036";"11036"
10;"10124";"10124"
16;"16037";"16037"
18;"18014";"18014"
21;"21040";"21040"
21;"21073";"21073"
21;"21112";"21112"
11;"11029";"11029"
21;"21110";"21110"
3;"03020";"03020"
10;"10011";"10012"
2;"02073";"02073"
5;"05006";"05006"
19;"19017";"19064"
20;"20026";"20026"
2;"02012";"02012"
23;"23010";"23010"
20;"20048";"20048"
10;"10050";"10050"
3;"03054";"03054"
22;"22142";"22142"
21;"21058";"21058"
19;"19049";"19049"
5;"05003";"05003"
22;"22092";"22092"
4;"04018";"04018"
22;"22031";"22031"
20;"20013";"20013"
17;"17017";"17017"
19;"19008";"19008"
21;"21087";"21087"
19;"19033";"19033"
14;"14039";"14052"
14;"14043";"14056"
12;"12035";"12035"
16;"16026";"16026"
8;"08016";"08016"
16;"16077";"16073"
2;"02068";"02068"
18;"18021";"18021"
9;"09009";"09009"
16;"16010";"16010"
16;"16008";"16008"
23;"23016";"23016"
14;"14027";"14031"
23;"23020";"23020"
15;"15049";"15049"
1;"01011";"01010"
10;"10115";"10115"
2;"02071";"02071"
5;"05024";"05024"
22;"22100";"22100"
19;"19029";"19029"
22;"22082";"22082"
14;"14016";"14023"
14;"14028";"14032"
17;"17035";"17035"
21;"21116";"21116"
22;"22010";"22010"
1;"01018";"01006"
17;"17019";"17019"
21;"21041";"21041"
10;"10059";"10059"
2;"02058";"02058"
16;"16042";"16042"
20;"20011";"20011"
18;"18019";"18019"
2;"02045";"02045"
19;"19010";"19010"
2;"02027";"02027"
6;"06013";"06013"
6;"06022";"06022"
20;"20040";"20040"
6;"06024";"06024"
3;"03068";"03068"
22;"22139";"22139"
13;"13004";"13012"
21;"21091";"21091"
22;"22026";"22026"
21;"21105";"21105"
20;"20021";"20021"
10;"10068";"10068"
23;"23090";"23090"
11;"11058";"11058"
21;"21108";"21108"
12;"12050";"12050"
23;"23083";"23083"
23;"23097";"23097"
4;"04017";"04017"
23;"23017";"23017"
7;"07003";"07003"
14;"14034";"14039"
11;"11023";"11023"
3;"03024";"03024"
15;"15020";"15020"
19;"19016";"19016"
19;"19009";"19063"
